2021-01-27 00:10:44 INFO  c.c.o.c.AdminController:53 - Admin Login
2021-01-27 00:14:21 INFO  c.c.o.c.AdminController:53 - Admin Login
2021-01-27 00:18:10 INFO  c.c.o.c.AdminController:53 - Admin Login
2021-01-27 00:19:17 INFO  c.c.o.c.AdminController:53 - Admin Login
2021-01-27 00:23:26 INFO  c.c.o.c.AdminController:53 - Admin Login
2021-01-27 00:34:25 INFO  c.c.o.c.AdminController:53 - Admin Login
2021-01-27 00:47:51 INFO  c.c.o.c.AdminController:53 - Admin Login
2021-01-27 00:57:42 INFO  c.c.o.c.AdminController:53 - Admin Login
2021-01-27 00:59:21 WARN  o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver:207 - Resolved [org.springframework.web.HttpRequestMethodNotSupportedException: Request method 'DELETE' not supported]
2021-01-27 00:59:34 INFO  c.c.o.c.AdminController:53 - Admin Login
2021-01-27 01:11:52 INFO  o.s.s.c.ThreadPoolTaskExecutor:218 - Shutting down ExecutorService 'applicationTaskExecutor'
2021-01-27 01:11:52 INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean:651 - Closing JPA EntityManagerFactory for persistence unit 'default'
2021-01-27 01:11:52 INFO  c.z.h.HikariDataSource:350 - HikariPool-1 - Shutdown initiated...
2021-01-27 01:11:52 INFO  c.z.h.HikariDataSource:352 - HikariPool-1 - Shutdown completed.
2021-01-27 01:11:52 INFO  c.c.o.OnRoadVehicleBreakdownAssistanceApplication:55 - Starting OnRoadVehicleBreakdownAssistanceApplication using Java 15.0.1 on DESKTOP-QR5LUGN with PID 7952 (E:\Capgemini Folder\SPRINT3\projectworkspace\projectworkspace\OnRoadVehicleBreakdownAssistance (1)\OnRoadVehicleBreakdownAssistance\target\classes started by suraj in E:\Capgemini Folder\SPRINT3\projectworkspace\projectworkspace\OnRoadVehicleBreakdownAssistance (1)\OnRoadVehicleBreakdownAssistance)
2021-01-27 01:11:52 DEBUG c.c.o.OnRoadVehicleBreakdownAssistanceApplication:56 - Running with Spring Boot v2.4.1, Spring v5.3.2
2021-01-27 01:11:52 INFO  c.c.o.OnRoadVehicleBreakdownAssistanceApplication:660 - No active profile set, falling back to default profiles: default
2021-01-27 01:11:52 INFO  o.s.d.r.c.RepositoryConfigurationDelegate:128 - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2021-01-27 01:11:52 INFO  o.s.d.r.c.RepositoryConfigurationDelegate:188 - Finished Spring Data repository scanning in 15 ms. Found 4 JPA repository interfaces.
2021-01-27 01:11:52 INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker:350 - Bean 'org.springframework.hateoas.config.HateoasConfiguration' of type [org.springframework.hateoas.config.HateoasConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-01-27 01:11:52 INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker:350 - Bean 'relProviderPluginRegistry' of type [org.springframework.plugin.core.support.PluginRegistryFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-01-27 01:11:52 INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker:350 - Bean 'relProviderPluginRegistry' of type [org.springframework.plugin.core.OrderAwarePluginRegistry] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-01-27 01:11:52 INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker:350 - Bean '_relProvider' of type [org.springframework.hateoas.server.core.DelegatingLinkRelationProvider] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-01-27 01:11:52 INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker:350 - Bean 'messageResolver' of type [org.springframework.hateoas.mediatype.MessageSourceResolver] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-01-27 01:11:52 INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker:350 - Bean 'org.springframework.data.web.config.SpringDataJacksonConfiguration' of type [org.springframework.data.web.config.SpringDataJacksonConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-01-27 01:11:52 INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker:350 - Bean 'jacksonGeoModule' of type [org.springframework.data.geo.GeoModule] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-01-27 01:11:52 INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker:350 - Bean 'org.springframework.boot.autoconfigure.data.rest.RepositoryRestMvcAutoConfiguration' of type [org.springframework.boot.autoconfigure.data.rest.RepositoryRestMvcAutoConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
